dataset,algorithm,seed,step,run_result_str,run_result_val,run_result_type,filename_best,baseline_best_score,improvement_pct,step_portion
sat4j,gp,3,127,0.168,0.168,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,128,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,129,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,12,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,1-20%
sat4j,gp,3,130,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,131,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,132,RUN_TIMEOUT,,other,0.168,0.168,0.0,61-80%
sat4j,gp,3,133,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,134,0.17,0.17,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,135,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,136,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,137,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,138,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,139,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,13,0.173,0.173,success,0.168,0.168,0.0,1-20%
sat4j,gp,3,140,0.168,0.168,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,141,0.168,0.168,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,142,0.168,0.168,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,143,0.168,0.168,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,144,0.169,0.169,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,145,0.172,0.172,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,146,0.168,0.168,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,147,0.17,0.17,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,148,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,149,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,14,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,1-20%
sat4j,gp,3,150,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,151,TEST_CODE_ERROR,,test_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,152,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,153,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,154,0.175,0.175,success,0.168,0.168,0.0,61-80%
sat4j,gp,3,155,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,156,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,157,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
sat4j,gp,3,158,COMPILE_CODE_ERROR,,compile_error,0.168,0.168,0.0,61-80%
